kunde_id,vertragsmonate,monatsumsatz,support_tickets,letzte_nutzung_tage,zahlungsverzug_tage,logins_30d,gekuendigt
K-1001,22,115.31,6,54,6,1,1
K-1002,33,187.18,3,11,0,31,0
K-1003,12,112.17,6,15,0,23,0
K-1004,39,159.92,3,29,0,31,0
K-1005,25,113.64,1,26,0,8,0
K-1006,23,180.11,2,11,0,41,0
K-1007,10,142.56,5,45,21,11,0
K-1008,10,122.55,7,57,14,1,0
K-1009,12,55.26,8,51,17,14,1
K-1010,17,120.1,1,29,0,26,0
K-1011,16,177.71,6,27,15,46,0
K-1012,28,223.63,3,8,0,43,0
K-1013,1,48.64,8,56,19,0,1
K-1014,14,146.23,6,14,17,20,0
K-1015,26,214.48,5,24,2,12,0
K-1016,29,130.57,2,41,10,37,0
K-1017,14,49.73,10,58,21,7,1
K-1018,13,98.68,5,32,17,10,1
K-1019,23,187.87,3,19,0,47,0
K-1020,11,146.33,5,24,17,21,0
K-1021,24,148.38,4,0,2,38,0
K-1022,22,219.25,0,0,1,35,0
K-1023,20,189.17,0,11,0,14,0
K-1024,27,164.64,2,25,11,20,0
K-1025,32,129.94,4,7,27,39,0
K-1026,1,93.87,6,47,20,4,1
K-1027,27,135.06,4,13,0,34,0
K-1028,13,122.24,7,55,12,0,0
K-1029,20,146.87,2,1,0,35,0
K-1030,25,107.84,6,45,10,5,0
K-1031,12,106.42,5,23,5,17,0
K-1032,30,116.65,6,29,7,54,0
K-1033,29,206.33,5,0,2,30,0
K-1034,27,9.0,2,40,13,16,0
K-1035,19,97.98,6,42,7,13,0
K-1036,17,134.18,1,0,2,33,0
K-1037,20,137.15,4,12,6,36,0
K-1038,27,261.95,2,13,0,43,0
K-1039,31,191.44,4,0,9,19,0
K-1040,33,186.27,0,0,4,44,0
K-1041,25,72.66,7,49,17,1,1
K-1042,4,98.16,5,51,15,19,0
K-1043,28,109.86,1,31,1,32,0
K-1044,17,120.54,6,44,12,18,1
K-1045,25,155.84,9,77,20,9,1
K-1046,28,103.19,1,10,10,26,0
K-1047,38,154.59,0,0,0,31,0
K-1048,27,109.53,6,19,0,23,0
K-1049,19,158.26,0,36,0,8,0
K-1050,13,156.73,4,21,14,14,0
K-1051,22,180.99,6,16,8,25,0
K-1052,21,174.41,0,18,0,27,0
K-1053,9,166.7,4,21,0,25,0
K-1054,15,150.52,2,16,0,36,0
K-1055,35,146.46,3,15,5,24,0
K-1056,1,9.0,5,68,15,2,1
K-1057,1,60.2,6,37,17,15,0
K-1058,8,97.44,3,38,12,19,0
K-1059,21,145.52,3,18,16,22,0
K-1060,23,71.68,4,1,0,39,0
K-1061,29,139.71,3,4,12,22,0
K-1062,6,119.47,6,33,12,11,1
K-1063,25,179.01,5,35,13,25,0
K-1064,15,142.25,7,47,14,17,1
K-1065,3,148.01,7,38,16,12,0
K-1066,13,95.45,0,12,0,31,0
K-1067,31,196.87,0,0,0,49,0
K-1068,11,112.91,4,47,0,18,0
K-1069,14,43.91,0,29,13,33,0
K-1070,10,130.94,4,66,29,13,0
K-1071,14,171.7,1,42,8,20,0
K-1072,8,76.09,4,45,0,7,1
K-1073,9,125.78,4,24,17,7,1
K-1074,33,92.91,3,14,3,32,0
K-1075,27,117.46,4,4,1,31,0
K-1076,13,25.17,6,37,5,0,1
K-1077,30,237.71,0,20,0,36,0
K-1078,28,133.17,1,21,8,28,0
K-1079,18,92.34,5,43,6,0,0
K-1080,26,180.06,3,9,0,28,0
K-1081,1,49.93,10,70,7,5,1
K-1082,16,137.41,4,37,4,26,0
K-1083,26,161.0,3,17,0,59,0
K-1084,25,121.45,3,25,10,2,1
K-1085,4,130.03,5,47,26,2,1
K-1086,37,170.91,2,22,0,27,0
K-1087,21,86.97,0,20,12,23,0
K-1088,1,26.99,8,41,8,7,1
K-1089,21,231.72,0,8,7,40,0
K-1090,1,106.53,4,40,10,18,0
K-1091,42,149.67,0,0,8,34,0
K-1092,15,32.59,6,50,13,2,0
K-1093,25,148.48,2,42,12,15,0
K-1094,3,98.15,5,46,22,0,1
K-1095,1,123.27,2,14,2,26,0
K-1096,26,113.11,4,15,7,5,1
K-1097,38,156.29,1,15,0,30,0
K-1098,23,57.74,7,59,12,4,1
K-1099,35,41.3,3,30,0,40,0
K-1100,10,71.9,10,30,26,0,1
K-1101,20,205.96,5,18,8,36,0
K-1102,26,82.12,5,38,20,14,0
K-1103,25,114.83,5,28,8,19,1
K-1104,1,177.24,5,13,1,27,0
K-1105,6,141.41,2,39,14,27,0
K-1106,13,52.05,2,52,2,9,1
K-1107,15,9.79,6,43,3,0,1
K-1108,20,184.23,5,34,1,17,0
K-1109,30,139.0,0,9,0,34,0
K-1110,23,214.39,0,8,13,40,0
K-1111,24,158.24,4,0,0,25,0
K-1112,19,84.98,3,35,24,20,1
K-1113,20,185.28,0,15,3,42,0
K-1114,12,88.56,1,47,13,1,0
K-1115,27,89.89,1,30,0,19,0
K-1116,1,20.41,3,43,13,0,1
K-1117,19,119.63,6,37,20,20,1
K-1118,8,96.32,6,58,12,11,1
K-1119,37,219.22,6,41,11,16,0
K-1120,9,38.57,9,59,17,0,1
